Publisher (costs in MEUR),2010,2011,2012,2013,2014,2015,2016,2017,Total,%
Metsäkustannus,0,0,0,0,0,0,0,0,0,0
University of Wisconsin Press,0,0,0,0,0,0,0,0,0,0
American Society for Nutrition,0,0,0,0,0,0,0,0,0,0
PHOENIX BIOINFORMATICS CORPORATION,0,0,0,0,0,0,0,0,0,0
Booky.fi Oy,0,0,0,0,0,0,0,0,0,0
Open Book Publishers,0,0,0,0,0,0,0,0,0,0
Delbanco,0,0,0,0,0,0,0,0,0,0
HighWire/LM Tietopalvelut,0,0,0,0,0,0,0,0,0,0
INDERSCIENCE ENTERPRISES LTD,0,0,0,0,0,0,0,0,0,0
American Society of Animal Science,0,0,0,0,0,0,0,0,0,0
European Audiovisual Observatory,0,0,0,0,0,0,0,0,0,0
Mineralogical Society,0,0,0,0,0,0,0,0,0,0
Harvard University Press,0,0,0,0,0,0,0,0,0,0
FINVA Finanssikoulutus Oy,0,0,0,0,0,0,0,0,0,0
International Telecommunications Union (IT),0,0,0,0,0,0,0,0,0,0
Carl Hanser Verlag,0,0,0,0,0,0,0,0,0,0
UDC Consortium,0,0,0,0,0,0,0,0,0,0
SEPM Society for Sedimentary Geology,0,0,0,0,0,0,0,0,0,0
American Statistical Association,0,0,0,0,0,0,0,0,0,0
SPR Veripalvelu,0,0,0,0,0,0,0,0,0,0
INFORMS,0,0,0,0,0,0,0,0,0,0
Economic and Financial Publishing ,0,0,0,0,0,0,0,0,0,0
The Economist,0,0,0,0,0,0,0,0,0,0
European Mathematical Society,0,0,0,0,0,0,0,0,0,0
Canadian Institute of Geomatics,0,0,0,0,0,0,0,0,0,0
Ifis Publishing,0,0,0,0,0,0,0,0,0,0
CSIRO Publishing,0,0,0,0,0,0,0,0,0,0
Warkauden lehti,0,0,0,0,0,0,0,0,0,0
PLUTO PRESS,0,0,0,0,0,0,0,0,0,0
Prosessiteollisuuden standardoimiskeskus,0,0,0,0,0,0,0,0,0,0
Pedanet,0,0,0,0,0,0,0,0,0,0
PTC Services Oy,0,0,0,0,0,0,0,0,0,0
Mohr Siebeck ,0,0,0,0,0,0,0,0,0,0
Export Finland,0,0,0,0,0,0,0,0,0,0
University of Toronto Press,0,0,0,0,0,0,0,0,0,0
SpaceNews,0,0,0,0,0,0,0,0,0,0
Brill/LM,0,0,0,0,0,0,0,0,0,0
Statacorp Lp,0,0,0,0,0,0,0,0,0,0
National Tax Association,0,0,0,0,0,0,0,0,0,0
New Scientist,0,0,0,0,0,0,0,0,0,0
Social Science History Association,0,0,0,0,0,0,0,0,0,0
Zentralverband Gartenbau e.V.,0,0,0,0,0,0,0,0,0,0
International Association Of Assessing Officers,0,0,0,0,0,0,0,0,0,0
University of Colorado,0,0,0,0,0,0,0,0,0,0
Otava Media,0,0,0,0,0,0,0,0,0,0
Consortium Erudit,0,0,0,0,0,0,0,0,0,0
Dow Jones & Company,0,0,0,0,0,0,0,0,0,0
Questex Media Group,0,0,0,0,0,0,0,0,0,0
SCIENCE AND MEDICINE INC.,0,0,0,0,0,0,0,0,0,0
Verlag Barbara Budrich,0,0,0,0,0,0,0,0,0,0
Cleo OpenEdition,0,0,0,0,0,0,0,0,0,0
The World Today,0,0,0,0,0,0,0,0,0,0
Editions Quebecoises,0,0,0,0,0,0,0,0,0,0
Comparative politics/LM,0,0,0,0,0,0,0,0,0,0
European Economic Association,0,0,0,0,0,0,0,0,0,0
Iisalmen Sanomat,0,0,0,0,0,0,0,0,0,0
American Phytopathological Society,0,0,0,0,0,0,0,0,0,0
Fagbokforlaget,0,0,0,0,0,0,0,0,0,0
Scientific American,0,0,0,0,0,0,0,0,0,0
Kirschbaum Verlag,0,0,0,0,0,0,0,0,0,0
Kustannus Oy,0,0,0,0,0,0,0,0,0,0
Project Muse/LM Tietopalvelut Oy,0,0,0,0,0,0,0,0,0,0
International Institute of Public Finances (IIPF),0,0,0,0,0,0,0,0,0,0
Vetenskapsmedia,0,0,0,0,0,0,0,0,0,0
Royal Economic Society,0,0,0,0,0,0,0,0,0,0
Arctic Now,0,0,0,0,0,0,0,0,0,0
American Geosciences Institute (AGI),0,0,0,0,0,0,0,0,0,0
FOREIGN AFFAIRS,0,0,0,0,0,0,0,0,0,0
Fru Olsson,0,0,0,0,0,0,0,0,0,0
